Nu Stable Isotope Analysis Program
Data Collected on Wednesday, February 13, 2019 at 16:49 with Stable 1.69.5 on PS019,Reanalyzed on Wednesday, February 13, 2019 at 16:58 with Stable 1.69.5 on PS019

Data File = Data_9280 PD4 123.txt,        Sample Weight = 77,                       Vial Location = 3,                        Initial Sam Beam = 6.7625e-09,            ColdFinger Status = CF,                   Min Ref Beam = 3.0762e-09,                Max Ref Beam = 1.8477e-08,                
Analysis undertaken at mass 46.03441
Analysis undertaken at mass 46.03441
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,6.25209e-09,,,,,,1.1937e-02,4.1854e-03,4.8753e-05,4.6338e-06,7.5534e-08,,,,,,,,,,,
Sam 1,6.24825e-09,1.19528e-02,4.2335e-03,5.0983e-05,4.9945e-06,1.3116e-06,,,,,,            1.3322,           11.4863,           45.5356,           77.8334,        15740.1688,           -1.8691,            5.5278,           32.4320,           53.4930,        15345.0995,
Ref 2,6.17712e-09,,,,,,1.1937e-02,4.1854e-03,4.8772e-05,4.6339e-06,8.1198e-08,,,,,,,,,,,
Sam 2,6.18872e-09,1.19526e-02,4.2335e-03,5.0987e-05,4.9851e-06,1.3171e-06,,,,,,            1.3131,           11.4972,           45.7216,           76.0594,        14601.6988,           -1.8898,            5.5388,           32.6250,           51.7362,        14233.4813,
Ref 3,6.09945e-09,,,,,,1.1937e-02,4.1854e-03,4.8744e-05,4.6316e-06,8.7685e-08,,,,,,,,,,,
Sam 3,6.12135e-09,1.19526e-02,4.2334e-03,5.0943e-05,4.9966e-06,1.3239e-06,,,,,,            1.2968,           11.4808,           44.9905,           77.7012,        14666.1416,           -1.9067,            5.5225,           31.9368,           53.3751,        14297.1562,
Ref 4,6.02266e-09,,,,,,1.1937e-02,4.1854e-03,4.8756e-05,4.6412e-06,8.1292e-08,,,,,,,,,,,
Sam 4,6.05785e-09,1.19525e-02,4.2335e-03,5.0949e-05,4.9957e-06,1.3306e-06,,,,,,            1.3108,           11.5172,           44.9971,           74.2593,        14490.5648,           -1.8930,            5.5586,           31.8920,           49.9355,        14124.4206,
Ref 5,5.95162e-09,,,,,,1.1937e-02,4.1852e-03,4.8754e-05,4.6597e-06,9.0554e-08,,,,,,,,,,,
Sam 5,5.99746e-09,1.19526e-02,4.2333e-03,5.0913e-05,4.9795e-06,1.3083e-06,,,,,,            1.3213,           11.4991,           44.4614,           70.6383,        13417.3899,           -1.8812,            5.5406,           31.3699,           46.4338,        13076.9488,
Ref 6,5.87532e-09,,,,,,1.1937e-02,4.1852e-03,4.8737e-05,4.6420e-06,9.0939e-08,,,,,,,,,,,
Sam 6,5.93161e-09,1.19523e-02,4.2335e-03,5.0920e-05,5.0049e-06,1.3366e-06,,,,,,            1.2942,           11.5333,           44.5391,           78.1603,        13252.2618,           -1.9113,            5.5747,           31.4412,           53.7145,        12915.1960,
Ref 7,5.80147e-09,,,,,,1.1937e-02,4.1853e-03,4.8762e-05,4.6420e-06,9.6658e-08,,,,,,,,,,,


