TABLE DR5. C & O ISOTOPIC DATA FOR THE LOMFJORDEN AND LOWER HINLOPENSTRETET SUPERGROUP CARBONATES,,,,,,,,,,,,,
Sample Name,Section,Section Height (m),Group,Formation,Member,Composite Height (m),Sample Age (Ma),UID,Session,𝞭13CVPDB,𝞭13CVPDB standard error,𝞭18OVPDB,𝞭18OVPDB startdard error
G4-2.8,G4,2.8,Veteranen,Oxfordbreen,Enpiggen,4056.8,845.9037037,16331,20220201,3.72,0.0096,-6.19,0.0137
G4-4.2,G4,4.2,Veteranen,Oxfordbreen,Enpiggen,4058.2,845.8801347,16332,20220201,0.61,0.0241,-15.98,0.0296
G4-10.3,G4,10.3,Veteranen,Oxfordbreen,Enpiggen,4064.3,845.7774411,16333,20220201,3.86,0.0048,-5.25,0.009
G4-12,G4,12,Veteranen,Oxfordbreen,Enpiggen,4066,845.7488215,16334,20220201,2.53,0.0222,-7.71,0.0214
G4-19,G4,19,Veteranen,Oxfordbreen,Enpiggen,4073,845.6309764,16339,20220202,2.4,0.0206,-9.55,0.0157
G4-24.2,G4,24.2,Veteranen,Oxfordbreen,Enpiggen,4078.2,845.5434343,16340,20220202,3.27,0.0134,-6.49,0.0139
G4-25,G4,25,Veteranen,Oxfordbreen,Enpiggen,4079,845.5299663,16341,20220202,1.53,0.0145,-10.2,0.0219
G4-29,G4,29,Veteranen,Oxfordbreen,Enpiggen,4083,845.4626263,16342,20220202,1.9,0.0037,-12.12,0.0086
G4-38.5,G4,38.5,Veteranen,Oxfordbreen,Enpiggen,4092.5,845.3026936,16343,20220202,1.6,0.0055,-13.27,0.0059
G4-47.15,G4,47.15,Veteranen,Oxfordbreen,Enpiggen,4101.15,845.1570707,16344,20220202,2.4,0.0032,-10.83,0.0121
G4-49.9,G4,49.9,Veteranen,Oxfordbreen,Enpiggen,4103.9,845.1107744,16345,20220202,3.58,0.0043,-5.75,0.0098
G4-58.8,G4,58.8,Veteranen,Oxfordbreen,Enpiggen,4112.8,844.9609428,16346,20220202,1.01,0.005,-11.36,0.0107
G4-60.05,G4,60.05,Veteranen,Oxfordbreen,Enpiggen,4114.05,844.939899,16347,20220202,0.43,0.0056,-11.78,0.005
G4-64.4,G4,64.4,Veteranen,Oxfordbreen,Enpiggen,4118.4,844.8666667,16350,20220202,0.72,0.0185,-10.02,0.0341
G4-65.75,G4,65.75,Veteranen,Oxfordbreen,Enpiggen,4119.75,844.8439394,16351,20220202,1.55,0.0099,-11.16,0.0144
G4-68A,G4,68,Veteranen,Oxfordbreen,Enpiggen,4122,844.8060606,16352,20220202,1.73,0.0015,-11.57,0.0042
G4-69.9,G4,69.9,Veteranen,Oxfordbreen,Enpiggen,4123.9,844.7740741,16353,20220202,1.33,0.0048,-12.01,0.0075
G4-73,G4,73,Veteranen,Oxfordbreen,Enpiggen,4127,844.7218855,16354,20220202,1.51,0.0031,-11.24,0.0093
G4-74.75,G4,74.75,Veteranen,Oxfordbreen,Enpiggen,4128.75,844.6924242,16355,20220202,1.17,0.0069,-12.02,0.0058
G4-76,G4,76,Veteranen,Oxfordbreen,Enpiggen,4130,844.6713805,16356,20220202,2.31,0.0026,-10.52,0.0077
G4-78.5,G4,78.5,Veteranen,Oxfordbreen,Enpiggen,4132.5,844.6292929,16357,20220202,2.92,0.0064,-6.92,0.0092
G4-81.5,G4,81.5,Veteranen,Oxfordbreen,Enpiggen,4135.5,844.5787879,16358,20220202,0.93,0.0073,-11.44,0.0025
G4-85.5,G4,85.5,Veteranen,Oxfordbreen,Enpiggen,4139.5,844.5114478,16363,20220203,1.4,0.0077,-11.4,0.0063
G4-89,G4,89,Veteranen,Oxfordbreen,Enpiggen,4143,844.4525253,16364,20220203,1.58,0.0061,-12.13,0.005
G4-89.55,G4,89.55,Veteranen,Oxfordbreen,Enpiggen,4143.55,844.443266,16365,20220203,2.99,0.0038,-7.46,0.0099
G4-90,G4,90,Veteranen,Oxfordbreen,Enpiggen,4144,844.4356902,16366,20220203,1.93,0.0043,-11.41,0.0069
G4-93.3,G4,93.3,Veteranen,Oxfordbreen,Enpiggen,4147.3,844.3801347,16367,20220203,2.56,0.0086,-9.18,0.0116
G4-93.8,G4,93.8,Veteranen,Oxfordbreen,Enpiggen,4147.8,844.3717172,16368,20220203,1.29,0.0081,-11.39,0.006
G4-96,G4,96,Veteranen,Oxfordbreen,Enpiggen,4150,844.3346801,16369,20220203,3.41,0.0097,-5.93,0.0136
G4-97.8,G4,97.8,Veteranen,Oxfordbreen,Enpiggen,4151.8,844.3043771,16370,20220203,1.91,0.027,-9.09,0.0327
G4-98.3,G4,98.3,Veteranen,Oxfordbreen,Enpiggen,4152.3,844.2959596,16371,20220203,2.12,0.0194,-6.44,0.0395
G4-100.05,G4,100.05,Veteranen,Oxfordbreen,Enpiggen,4154.05,844.2664983,16374,20220203,3.59,0.0045,-6.05,0.0063
G4-100.1,G4,100.1,Veteranen,Oxfordbreen,Enpiggen,4154.1,844.2656566,16375,20220203,3.29,0.0102,-7.69,0.0064
G4-100.8,G4,100.8,Veteranen,Oxfordbreen,Enpiggen,4154.8,844.2538721,16376,20220203,3.15,0.0061,-8.65,0.0085
G4-101.2,G4,101.2,Veteranen,Oxfordbreen,Enpiggen,4155.2,844.247138,16377,20220203,2.71,0.0017,-10.36,0.0029
G4-105.1,G4,105.1,Veteranen,Oxfordbreen,Enpiggen,4159.1,844.1814815,16378,20220203,4.01,0.0145,-5.58,0.0138
G4-107,G4,107,Veteranen,Oxfordbreen,Fulmarberget,4161,844.1494949,16379,20220203,3.75,0.0093,-5.85,0.0091
G4-108.8,G4,108.8,Veteranen,Oxfordbreen,Fulmarberget,4162.8,844.1191919,16380,20220203,3.89,0.0041,-5.35,0.0059
G4-110.8,G4,110.8,Veteranen,Oxfordbreen,Fulmarberget,4164.8,844.0855219,16381,20220203,2.42,0.0031,-10.81,0.0061
G4-113.6,G4,113.6,Veteranen,Oxfordbreen,Fulmarberget,4167.6,844.0383838,16382,20220203,3.84,0.0041,-6.1,0.0069
G4-115,G4,115,Veteranen,Oxfordbreen,Fulmarberget,4169,844.0148148,16385,20220203,3.82,0.0045,-5.5,0.0156
G4-117,G4,117,Veteranen,Oxfordbreen,Fulmarberget,4171,843.9811448,16386,20220203,3.36,0.0036,-6.28,0.0084
G4-117.2,G4,117.2,Veteranen,Oxfordbreen,Fulmarberget,4171.2,843.9777778,16387,20220203,3,0.0064,-9.26,0.0105
G4-117.9,G4,117.9,Veteranen,Oxfordbreen,Fulmarberget,4171.9,843.9659933,16388,20220203,2.89,0.0047,-10.79,0.005
G4-120,G4,120,Veteranen,Oxfordbreen,Fulmarberget,4174,843.9306397,16389,20220203,3.07,0.0114,-7.17,0.0171
G4-122,G4,122,Veteranen,Oxfordbreen,Fulmarberget,4176,843.8969697,16390,20220203,5.74,0.004,-9.84,0.0095
G4-123.5,G4,123.5,Veteranen,Oxfordbreen,Fulmarberget,4177.5,843.8717172,16391,20220203,6.15,0.0032,-10.06,0.0026
G4-127.5,G4,127.5,Veteranen,Oxfordbreen,Fulmarberget,4181.5,843.8043771,16392,20220203,6.95,0.0053,-10.36,0.0051
G4-129.7,G4,129.7,Veteranen,Oxfordbreen,Fulmarberget,4183.7,843.7673401,16393,20220203,7.06,0.0046,-10.16,0.0055
G4-131,G4,131,Veteranen,Oxfordbreen,Fulmarberget,4185,843.7454545,16398,20220204,4.73,0.0064,-10.3,0.0087
G4-132,G4,132,Veteranen,Oxfordbreen,Fulmarberget,4186,843.7286195,16399,20220204,6.71,0.0066,-10.31,0.0073
G4-133.7,G4,133.7,Veteranen,Oxfordbreen,Fulmarberget,4187.7,843.7,16400,20220204,4.32,0.0056,-9.69,0.0131
G4-135.5,G4,135.5,Veteranen,Oxfordbreen,Fulmarberget,4189.5,843.669697,16401,20220204,4.64,0.0031,-9.73,0.007
G4-138,G4,138,Veteranen,Oxfordbreen,Fulmarberget,4192,843.6276094,16402,20220204,7.78,0.0035,-9.79,0.008
G4-140.5,G4,140.5,Veteranen,Oxfordbreen,Fulmarberget,4194.5,843.5855219,16403,20220204,4.07,0.0093,-6.96,0.0058
G4-142.5,G4,142.5,Veteranen,Oxfordbreen,Fulmarberget,4196.5,843.5518519,16404,20220204,3.78,0.0049,-9.2,0.0188
G4-143,G4,143,Veteranen,Oxfordbreen,Fulmarberget,4197,843.5434343,16405,20220204,8.08,0.0019,-9.87,0.0061
G4-145,G4,145,Veteranen,Oxfordbreen,Fulmarberget,4199,843.5097643,16406,20220204,7.85,0.0071,-9.8,0.0076
G4-147,G4,147,Veteranen,Oxfordbreen,Fulmarberget,4201,843.4760943,16409,20220204,5.56,0.0078,-9.4,0.0073
G4-149.5,G4,149.5,Veteranen,Oxfordbreen,Fulmarberget,4203.5,843.4340067,16410,20220204,6.54,0.0074,-9.57,0.0114
G4-151.6,G4,151.6,Veteranen,Oxfordbreen,Fulmarberget,4205.6,843.3986532,16411,20220204,5.27,0.0049,-9.2,0.0114
G4-154.25,G4,154.25,Veteranen,Oxfordbreen,Fulmarberget,4208.25,843.3540404,16412,20220204,5.81,0.0056,-8.88,0.004
G4-157,G4,157,Veteranen,Oxfordbreen,Fulmarberget,4211,843.3077441,16413,20220204,6.73,0.0013,-8.81,0.0045
G4-157.5,G4,157.5,Veteranen,Oxfordbreen,Fulmarberget,4211.5,843.2993266,16414,20220204,4.9,0.0048,-8.38,0.0133
G4-159,G4,159,Veteranen,Oxfordbreen,Fulmarberget,4213,843.2740741,16415,20220204,5.23,0.0032,-8.83,0.0087
G4-161,G4,161,Veteranen,Oxfordbreen,Fulmarberget,4215,843.240404,16416,20220204,6.09,0.005,-8.65,0.0063
G4-163.5,G4,163.5,Veteranen,Oxfordbreen,Fulmarberget,4217.5,843.1983165,16417,20220204,5.89,0.0066,-8.58,0.0034
