UID,Session,Sample,d45,d46,d47,d48,d49
16115,20220121,G1-45_8,6.373868,7.520670,30.793596,63.674554,16833.591711
16126,20220121,G2-1,10.446042,10.492798,37.859984,89.375661,17051.199948
16119,20220121,G1-82,10.226799,8.804381,35.499464,229.727091,27881.323394
16118,20220121,G1-23_6,6.290304,13.443711,49.033863,131.020747,31008.155468
16104,20220121,G1-21_5,6.379881,11.817754,52.084042,144.311247,31997.686983
16099,20220121,ETH-3,4.502980,11.773015,28.003635,40.522058,6256.240095
16111,20220121,G1-27_2,5.807417,11.228807,35.184432,105.624297,24273.673509
16095,20220121,G1-26_0B,5.700694,8.951448,36.245522,74.825676,19356.884939
16109,20220121,ETH-3,4.538918,11.859476,26.709940,34.342239,4531.197062
16091,20220121,G1-20_4,6.076780,13.825852,54.389993,99.314747,22877.711308
16110,20220121,ETH-2,-7.079910,-5.237405,-0.819739,51.303197,19574.041094
16131,20220121,ETH-3,4.494696,11.722769,29.541094,55.757757,11830.212779
16089,20220121,G1-33,5.821454,12.544918,41.546459,214.047833,52708.520459
16130,20220121,G2-4_3,10.353214,9.315101,36.188532,262.801947,19257.346053
16108,20220121,G1-39,6.668420,12.516293,46.323226,270.520455,66792.726311
16106,20220121,G1-54_2,7.078071,11.040686,41.110551,122.080814,33416.572493
16107,20220121,G1-45,5.854340,11.704394,35.047545,126.945303,32277.943374
16136,20220121,ETH-3,4.467316,11.782479,34.210756,51.848556,12437.018579
16098,20220121,ETH-2,-7.043825,-5.212441,2.231682,42.695397,18592.807523
16097,20220121,G1-80,10.108688,8.048431,42.393396,66.235862,15242.548109
16087,20220121,ETH-3,4.529451,11.806131,31.066867,49.161679,9197.152343
16102,20220121,G1-38_1,6.699420,13.013990,50.913147,108.284473,22097.671535
16133,20220121,G2-4_4,10.047415,8.966606,31.731168,244.406769,21388.924173
16114,20220121,G1-54_4,7.778593,12.180429,47.081811,170.562549,46844.970766
16113,20220121,G1-81_5,10.126213,8.676613,31.451356,95.981595,24124.330023
16117,20220121,G1-27_9,5.199943,11.929530,43.294751,186.964133,31417.802331
16128,20220121,G2-3_7,10.171552,11.828662,33.940461,134.135322,34000.612205
16135,20220121,ETH-2,-7.078559,-5.267660,-1.549258,8.528791,6132.721711
16121,20220121,ETH-3,4.493544,11.705663,36.058999,56.077738,13030.958599
16116,20220121,G1-39_3,5.807494,14.234732,47.059021,200.039256,44578.958058
16134,20220121,G2-5_1,9.944720,9.646598,32.574740,182.982559,18504.756513
16103,20220121,G1-27,6.767872,11.730911,38.921079,134.734367,32425.583474
16093,20220121,G1-44_1,5.695620,11.351754,39.931698,93.837400,23970.549668
16100,20220121,G1-53_9,7.346831,12.231160,50.278677,148.397947,32800.928465
16122,20220121,G1-82_5,10.236353,9.043751,29.988064,73.546679,17295.187096
16123,20220121,G1-85,9.332531,9.050724,36.252096,79.525153,15015.114807
